comparison_ticker,ipo_ticker,first_open_price,price_10_days,price_30_days,price_60_days,price_90_days,price_180_days,current_price
9503.T,212A.T,2740.0,2134.0,2614.5,2608.0,1995.5,1617.0,1635.0
3092.T,211A.T,1420.0,1462.0,1537.0,1827.6666259765625,1618.3333740234375,1394.0,1455.0
6301.T,206A.T,4778.0,4887.0,4099.0,4084.0,4198.0,4468.0,4044.0
8750.T,205A.T,1065.0,1183.75,950.75,906.5,1056.5,1179.75,924.4000244140625
7733.T,202A.T,2578.5,2689.5,2358.5,2681.0,2697.0,2031.5,1804.5
8053.T,196A.T,3850.0,4128.0,3355.0,3118.0,3245.0,3618.0,3255.0
4307.T,194A.T,4277.0,4648.0,4647.0,4944.0,4999.0,4964.0,5444.0
9501.T,197A.T,857.0,854.9000244140625,716.5,638.2999877929688,639.9000244140625,459.79998779296875,431.1000061035156
3405.T,198A.T,1808.5,1887.5,1819.5,1955.0,2068.0,1929.5,1643.5
6501.T,195A.T,3333.0,3746.0,3288.0,3420.0,4053.0,3647.0,3400.0
5714.T,192A.T,5520.0,5634.0,5455.0,4629.0,5198.0,4760.0,4435.0
3402.T,190A.T,731.0999755859375,758.5999755859375,767.0,763.0,825.0999755859375,1006.0,925.0
8035.T,189A.T,35340.0,34990.0,30770.0,22995.0,23720.0,21780.0,19515.0
1963.T,186A.T,1237.0,1220.5,1301.5,1322.0,1313.5,1110.0,1085.0
6503.T,184A.T,2816.0,2686.5,2734.5,2359.0,2415.5,2366.0,2581.5
6723.T,177A.T,2523.0,2576.5,2980.0,3011.0,2265.0,2079.0,1603.0
6976.T,176A.T,3540.0,3250.0,3517.0,4802.0,3573.0,2287.0,2086.0
6472.T,175A.T,308.79998779296875,314.0,304.79998779296875,334.8999938964844,265.5,243.89999389648438,211.6999969482422
9434.T,173A.T,185.1999969482422,185.89999389648438,190.0,202.5500030517578,197.25,196.1999969482422,218.60000610351562
9020.T,168A.T,2879.0,2858.0,2797.0,2604.0,2656.5,2779.0,3186.0
3407.T,160A.T,1085.5,1097.5,1048.0,1025.5,988.4000244140625,1072.0,964.9000244140625
5803.T,156A.T,2246.5,2666.5,2831.0,3111.0,2650.0,6248.0,4685.0
3407.T,157A.T,1112.5,1128.0,1071.0,1033.0,954.5,1071.5,964.9000244140625
2282.T,153A.T,5159.0,5092.0,5126.0,4794.0,4961.0,5094.0,5330.0
4755.T,155A.T,861.5,892.0999755859375,804.5,824.0,732.0999755859375,998.5,784.0
6981.T,146A.T,2844.5,2750.0,2725.0,3336.0,2582.0,2470.0,2103.5
9984.T,149A.T,8950.0,8575.0,7877.0,9889.0,6400.0,9421.0,6810.0
7012.T,151A.T,5096.0,4759.0,5821.0,5694.0,4035.0,6356.0,7987.0
8750.T,145A.T,984.0,932.75,900.75,991.25,1027.75,1054.75,924.4000244140625
1605.T,147A.T,2301.0,2460.0,2368.0,2315.5,2105.0,1963.0,1858.5
